,/ang_vel,/position
1497,,-0.0777819071120663
1498,,-0.07766802437837367
1499,,-0.07744025891098841
1500,,-0.07721249344360315
1501,,-0.07687084524252526
1502,,-0.07652919704144737
1503,,-0.07618754884036948
1504,,-0.07584590063929159
1505,,-0.07539036970452107
1506,,-0.07493483876975054
1507,,-0.0743654251012874
1508,,-0.07379601143282426
1509,,-0.07322659776436109
1510,,-0.07265718409589794
1511,,-0.07197388769374218
1512,,-0.07140447402527901
1513,,-0.07072117762312324
1514,,-0.07003788122096746
1515,,-0.06935458481881168
1516,,-0.06855740568296326
1517,,-0.06776022654711486
1518,,-0.06696304741126645
1519,,-0.06605198554172541
1520,,-0.06514092367218437
1521,,-0.06434374453633596
1522,,-0.06354656540048755
1523,,-0.06274938626463913
1524,,-0.06195220712879073
1525,,-0.06104114525924968
1526,,-0.06024396612340127
1527,,-0.05944678698755286
1528,,-0.058535725118011826
1529,,-0.057738545982163415
1530,,-0.056941366846315004
1531,,-0.0561441877104666
1532,,-0.05534700857461819
1533,,-0.05454982943876978
1534,,-0.05363876756922873
1535,,-0.052727705699687696
1536,,-0.051816643830146655
1537,,-0.050905581960605614
1538,,-0.04988063735737194
1539,,-0.04885569275413827
1540,,-0.04794463088459724
1541,,-0.046919686281363567
1542,,-0.046008624411822525
1543,,-0.044983679808588854
1544,,-0.04407261793904781
1545,,-0.04304767333581414
1546,,-0.04190884599888785
1547,,-0.040883901395654176
1548,,-0.039631191325035245
1549,,-0.03837848125441631
1550,,-0.03712577118379738
1551,,-0.03575917837948583
1552,,-0.03439258557517426
1553,,-0.032912110037170074
1554,,-0.03143163449916588
1555,,-0.029951158961161694
1556,,-0.028356800689464872
1557,,-0.026762442417768054
1558,,-0.025168084146071235
1559,,-0.02357372587437441
1560,,-0.02209325033637022
1561,,-0.020498892064673403
1562,,-0.01901841652666921
1563,,-0.01765182372235765
1564,,-0.01617134818435346
1565,,-0.0148047553800419
1566,,-0.013438162575730342
1567,,-0.012185452505111412
1568,,-0.01104662516818511
1569,,-0.009907797831258811
1570,,-0.008768970494332512
1571,,-0.007744025891098841
1572,,-0.0068329640215578
1573,,-0.00592190215201676
1574,,-0.005124723016168351
1575,,-0.00444142661401257
1576,,-0.0038720129455494206
1577,,-0.0035303647444715302
1578,,-0.0034164820107789
1579,,-0.0034164820107789
1580,,-0.0034164820107789
1581,,-0.0035303647444715302
1582,,-0.0035303647444715302
1583,,-0.0035303647444715302
1584,,-0.0035303647444715302
1585,,-0.0035303647444715302
1586,,-0.0036442474781641604
1587,,-0.0036442474781641604
1588,,-0.0037581302118567905
1589,,-0.0038720129455494206
1590,,-0.00398589567924205
1591,,-0.00398589567924205
1592,,-0.00398589567924205
1593,,-0.00398589567924205
1594,,-0.00398589567924205
1595,,-0.00398589567924205
1596,,-0.00398589567924205
1597,,-0.00398589567924205
1598,,-0.00398589567924205
1599,,-0.00398589567924205
1600,,-0.00398589567924205
1601,,-0.00398589567924205
1602,,-0.0038720129455494206
1603,,-0.0038720129455494206
1604,,-0.0037581302118567905
1605,,-0.0036442474781641604
1606,,-0.0034164820107789
1607,,-0.00307483380970101
1608,,-0.0027331856086231206
1609,,-0.0022776546738526
1610,,-0.0018221237390820802
1611,,-0.0013665928043115603
1612,,-0.0007971791358484101
1613,,-0.0003416482010778901
1614,,0.00022776546738526002
1615,,0.0007971791358484101
1616,,0.0012527100706189302
1617,,0.00170824100538945
1618,,0.0021637719401599704
1619,,0.0025054201412378603
1620,,0.0028470683423157507
1621,,0.0031887165433936403
1622,,0.0034164820107789
1623,,0.0036442474781641604
1624,,0.0038720129455494206
1625,,0.0040997784129346805
1626,,0.004213661146627311
1627,,0.004213661146627311
1628,,0.004213661146627311
1629,,0.004213661146627311
1630,,0.004213661146627311
1631,,0.004213661146627311
1632,,0.004213661146627311
1633,,0.004213661146627311
1634,,0.0040997784129346805
1635,,0.00398589567924205
1636,,0.0038720129455494206
1637,,0.0037581302118567905
1638,,0.0036442474781641604
1639,,0.0034164820107789
1640,,0.0031887165433936403
1641,,0.0028470683423157507
1642,,0.0025054201412378603
1643,,0.0021637719401599704
1644,,0.0018221237390820802
1645,,0.0013665928043115603
1646,,0.0009110618695410401
1647,,0.00056941366846315
1648,,0.00011388273369263001
1649,,-0.00011388273369263001
1650,,-0.00045553093477052005
1651,,-0.0009110618695410401
1652,,-0.0012527100706189302
1653,,-0.0018221237390820802
1654,,-0.0022776546738526
1655,,-0.00296095107600838
1656,,-0.0036442474781641604
1657,,-0.004213661146627311
1658,,-0.00478307481509046
1659,,-0.00535248848355361
1660,,-0.00592190215201676
1661,,-0.006491315820479911
1662,,-0.0070607294889430605
1663,,-0.00763014315740621
1664,,-0.008199556825869361
1665,,-0.008768970494332512
1666,,-0.00933838416279566
1667,,-0.009907797831258811
1668,,-0.010477211499721962
1669,,-0.011160507901877741
1670,,-0.011729921570340892
1671,,-0.01241321797249667
1672,,-0.012982631640959821
1673,,-0.0136659280431156
1674,,-0.014235341711578751
1675,,-0.014918638113734532
1676,,-0.015601934515890313
1677,,-0.016285230918046092
1678,,-0.016854644586509242
1679,,-0.01765182372235765
1680,,-0.0182212373908208
1681,,-0.01901841652666921
1682,,-0.019701712928824992
1683,,-0.02038500933098077
1684,,-0.02106830573313655
1685,,-0.021751602135292335
1686,,-0.022434898537448112
1687,,-0.023118194939603893
1688,,-0.023915374075452304
1689,,-0.02459867047760808
1690,,-0.025395849613456492
1691,,-0.026079146015612273
1692,,-0.026876325151460684
1693,,-0.027559621553616465
1694,,-0.028242917955772242
1695,,-0.029040097091620653
1696,,-0.02972339349377643
1697,,-0.030406689895932214
1698,,-0.030976103564395365
1699,,-0.03154551723285851
1700,,-0.03211493090132166
1701,,-0.032570461836092184
1702,,-0.033139875504555334
1703,,-0.033595406439325855
1704,,-0.034050937374096375
1705,,-0.03439258557517426
1706,,-0.034848116509944786
1707,,-0.0353036474447153
1708,,-0.0356452956457932
1709,,-0.03610082658056371
1710,,-0.03667024024902686
1711,,-0.03723965391749001
1712,,-0.03780906758595316
1713,,-0.038492363988108944
1714,,-0.039289543123957354
1715,,-0.04031448772719102
1716,,-0.04133943233042469
1717,,-0.042478259667351
1718,,-0.04361708700427729
1719,,-0.044869797074896224
1720,,-0.04635027261290041
1721,,-0.04760298268351934
1722,,-0.04885569275413827
1723,,-0.05022228555844983
1724,,-0.0515888783627614
1725,,-0.05306935390076559
1726,,-0.05454982943876978
1727,,-0.05603030497677396
1728,,-0.05762466324847079
1729,,-0.0592190215201676
1730,,-0.06092726252555706
1731,,-0.06252162079725387
1732,,-0.06422986180264333
1733,,-0.06593810280803278
1734,,-0.0675324610797296
1735,,-0.06912681935142642
1736,,-0.07072117762312324
1737,,-0.07231553589482007
1738,,-0.07390989416651687
1739,,-0.0755042524382137
1740,,-0.07709861070991052
1741,,-0.07869296898160734
1742,,-0.08040120998699679
1743,,-0.08199556825869361
1744,,-0.08358992653039042
1745,,-0.08507040206839461
1746,,-0.08632311213901354
1747,,-0.08757582220963249
1748,,-0.08860076681286615
1749,,-0.08962571141609982
1750,,-0.09042289055194823
1751,,-0.09099230422041138
1752,,-0.09133395242148927
1753,,-0.09156171788887453
1754,,-0.09167560062256715
1755,,-0.09190336608995242
1756,,-0.09235889702472294
1757,,-0.09281442795949346
1758,,-0.09326995889426398
1759,,-0.09383937256272713
1760,,-0.09429490349749764
1761,,-0.0948643171659608
1762,,-0.09543373083442395
1763,,-0.09588926176919448
1764,,-0.09634479270396498
1765,,-0.09668644090504287
1766,,-0.09702808910612078
1767,,-0.0974836200408913
1768,,-0.0979391509756618
1769,,-0.0982807991767397
1770,,-0.09873633011151021
1771,,-0.09919186104628075
1772,,-0.09976127471474389
1773,,-0.10033068838320704
1774,,-0.10090010205167019
1775,,-0.10146951572013334
1776,,-0.10203892938859649
1777,,-0.10260834305705964
1778,,-0.10329163945921542
1779,,-0.10386105312767857
1780,,-0.10443046679614172
1781,,-0.10488599773091224
1782,,-0.10534152866568275
1783,,-0.10568317686676065
1784,,-0.10602482506783854
1785,,-0.1062525905352238
1786,,-0.1062525905352238
1787,,-0.1062525905352238
1788,,-0.1062525905352238
1789,,-0.10613870780153117
1790,,-0.10613870780153117
1791,,-0.10613870780153117
1792,,-0.10613870780153117
1793,,-0.10613870780153117
1794,,-0.10613870780153117
1795,,-0.10602482506783854
1796,,-0.10602482506783854
1797,,-0.10602482506783854
1798,,-0.10602482506783854
1799,,-0.10591094233414591
1800,,-0.10568317686676065
1801,,-0.10545541139937539
1802,,-0.1051137631982975
1803,,-0.10465823226352698
1804,,-0.10420270132875648
1805,,-0.10374717039398593
1806,,-0.1031777567255228
1807,,-0.10260834305705964
1808,,-0.10192504665490386
1809,,-0.10124175025274808
1810,,-0.10033068838320704
1811,,-0.099419626513666
1812,,-0.09850856464412497
1813,,-0.09736973730719865
1814,,-0.09611702723657974
1815,,-0.0948643171659608
1816,,-0.09349772436164924
1817,,-0.09201724882364505
1818,,-0.0903090078182556
1819,,-0.08860076681286615
1820,,-0.0868925258074767
1821,,-0.08518428480208724
1822,,-0.0834760437966978
1823,,-0.08165392005761571
1824,,-0.07983179631853364
1825,,-0.07789578984575893
1826,,-0.07584590063929159
1827,,-0.07390989416651687
1828,,-0.07197388769374218
1829,,-0.06992399848727483
1830,,-0.06787410928080749
1831,,-0.06593810280803278
1832,,-0.0637743308678728
1833,,-0.06161055892771284
1834,,-0.05944678698755286
1835,,-0.05716913231370027
1836,,-0.05511924310723293
1837,,-0.05306935390076559
1838,,-0.051133347427990875
1839,,-0.04919734095521616
1840,,-0.04726133448244146
1841,,-0.045439210743359375
1842,,-0.04361708700427729
1843,,-0.04190884599888785
1844,,-0.040200604993498396
1845,,-0.038720129455494204
1846,,-0.03735353665118264
1847,,-0.03598694384687109
1848,,-0.034734233776252156
1849,,-0.033595406439325855
1850,,-0.03245657910239955
1851,,-0.03131775176547325
1852,,-0.030292807162239584
1853,,-0.029267862559005913
1854,,-0.028242917955772242
1855,,-0.0273318560862312
1856,,-0.026420794216690163
1857,,-0.025509732347149122
1858,,-0.02459867047760808
1859,,-0.02368760860806704
1860,,-0.02266266400483337
1861,,-0.021637719401599705
1862,,-0.020498892064673403
1863,,-0.019246181994054472
1864,,-0.017993471923435544
1865,,-0.016626879119123982
1866,,-0.01526028631481242
1867,,-0.013779810776808232
1868,,-0.01229933523880404
1869,,-0.010818859700799852
1870,,-0.00933838416279566
1871,,-0.00785790862479147
1872,,-0.006491315820479911
1873,,-0.005124723016168351
1874,,-0.0037581302118567905
1875,,-0.0022776546738526
1876,,-0.0007971791358484101
1877,,0.0007971791358484101
1878,,0.00239153740754523
1879,,0.00398589567924205
1880,,0.0056941366846315015
1881,,0.007288494956328321
1882,,0.008996735961717772
1883,,0.01059109423341459
1884,,0.01229933523880404
1885,,0.014121458977886121
1886,,0.0159435827169682
1887,,0.01765182372235765
1888,,0.019473947461439732
1889,,0.02118218846682918
1890,,0.022776546738526006
1891,,0.024370905010222824
1892,,0.025851380548227013
1893,,0.02710409061884594
1894,,0.028242917955772242
1895,,0.029267862559005913
1896,,0.030065041694854324
1897,,0.03063445536331747
1898,,0.031203869031780625
1899,,0.03177328270024377
1900,,0.03211493090132166
1901,,0.032684344569784814
1902,,0.033367640971940594
1903,,0.034164820107789005
1904,,0.035075881977330046
1905,,0.03575917837948583
1906,,0.03667024024902686
1907,,0.03746741938487527
1908,,0.03826459852072368
1909,,0.038947894922879464
1910,,0.039631191325035245
1911,,0.040200604993498396
1912,,0.04077001866196154
1913,,0.04122554959673207
1914,,0.04179496326519521
1915,,0.04225049419996574
1916,,0.04270602513473626
1917,,0.04316155606950677
1918,,0.04350320427058467
1919,,0.04395873520535518
1920,,0.044414266140125704
1921,,0.044983679808588854
1922,,0.04555309347705201
1923,,0.046236389879207786
1924,,0.046919686281363567
1925,,0.04748909994982672
1926,,0.04805851361828987
1927,,0.04862792728675301
1928,,0.04919734095521616
1929,,0.04965287188998668
1930,,0.0501084028247572
1931,,0.050677816493220354
1932,,0.051133347427990875
1933,,0.051474995629068765
1934,,0.051816643830146655
1935,,0.052044409297531916
1936,,0.052158292031224546
1937,,0.052158292031224546
1938,,0.052158292031224546
1939,,0.052044409297531916
1940,,0.051930526563839285
1941,,0.051816643830146655
1942,,0.051702761096454025
1943,,0.051474995629068765
1944,,0.051019464694298244
1945,,0.05056393375952773
1946,,0.04999452009106457
1947,,0.04942510642260142
1948,,0.04885569275413827
1949,,0.04817239635198249
1950,,0.04737521721613408
1951,,0.04635027261290041
1952,,0.04532532800966674
1953,,0.04418650067274044
1954,,0.04281990786842888
1955,,0.04145331506411733
1956,,0.040086722259805765
1957,,0.038492363988108944
1958,,0.03701188845010475
1959,,0.0353036474447153
1960,,0.033595406439325855
1961,,0.03177328270024377
1962,,0.029951158961161694
1963,,0.028129035222079612
1964,,0.0261930287493049
1965,,0.024257022276530194
1966,,0.022321015803755482
1967,,0.02038500933098077
1968,,0.018449002858206064
1969,,0.016626879119123982
1970,,0.014918638113734532
1971,,0.013210397108345082
1972,,0.011616038836648261
1973,,0.010021680564951441
1974,,0.008541205026947251
1975,,0.0071746122226356915
1976,,0.00592190215201676
1977,,0.00466919208139783
1978,,0.0036442474781641604
1979,,0.0027331856086231206
1980,,0.0021637719401599704
1981,,0.0018221237390820802
1982,,0.0013665928043115603
1983,,0.0007971791358484101
1984,,0.0003416482010778901
1985,,-0.00022776546738526002
1986,,-0.0006832964021557802
1987,,-0.0012527100706189302
1988,,-0.00170824100538945
1989,,-0.0021637719401599704
1990,,-0.0027331856086231206
1991,,-0.0031887165433936403
1992,,-0.0036442474781641604
1993,,-0.00398589567924205
1994,,-0.004327543880319941
1995,,-0.00444142661401257
1996,,-0.00466919208139783
1997,,-0.0048969575487830905
1998,,-0.005124723016168351
1999,,-0.00535248848355361
2000,,-0.005808019418324131
2001,,-0.00626355035309465
2002,,-0.006946846755250431
2003,,-0.007744025891098841
2004,,-0.008655087760639881
2005,,-0.009793915097566181
2006,,-0.01104662516818511
2007,,-0.01241321797249667
2008,,-0.0136659280431156
2009,,-0.015032520847427162
2010,,-0.016399113651738722
2011,,-0.01776570645605028
2012,,-0.019246181994054472
2013,,-0.020726657532058664
2014,,-0.022207133070062852
2015,,-0.02380149134175967
2016,,-0.025395849613456492
2017,,-0.026990207885153314
2018,,-0.028698448890542766
2019,,-0.028698448890542766
2020,,-0.030406689895932214
2021,,-0.030406689895932214
2022,,-0.03200104816762903
2023,,-0.03200104816762903
2024,,-0.033595406439325855
2025,,-0.033595406439325855
2026,,-0.035075881977330046
2027,,-0.035075881977330046
2028,,-0.0364424747816416
2029,,-0.0364424747816416
2030,,-0.03792295031964579
2031,,-0.03792295031964579
2032,,-0.039175660390264724
2033,,-0.039175660390264724
2034,,-0.040428370460883656
2035,,-0.040428370460883656
2036,,-0.04133943233042469
2037,,-0.04133943233042469
2038,,-0.0421366114662731
2039,,-0.0421366114662731
2040,,-0.04281990786842888
2041,,-0.04281990786842888
2042,,-0.04338932153689203
2043,,-0.04338932153689203
2044,,-0.04384485247166255
2045,,-0.04384485247166255
2046,,-0.04430038340643307
2047,,-0.04430038340643307
2048,,-0.04452814887381834
2049,,-0.04452814887381834
2050,,-0.044642031607510964
2051,,-0.044642031607510964
2052,,-0.044642031607510964
2053,,-0.044642031607510964
2054,,-0.044642031607510964
2055,,-0.044642031607510964
2056,,-0.044642031607510964
2057,,-0.044642031607510964
2058,,-0.044642031607510964
2059,,-0.044642031607510964
2060,,-0.044642031607510964
2061,,-0.044642031607510964
2062,,-0.044642031607510964
2063,,-0.044642031607510964
2064,,-0.044642031607510964
2065,,-0.044642031607510964
2066,,-0.044642031607510964
2067,,-0.044642031607510964
2068,,-0.04452814887381834
2069,,-0.04452814887381834
2070,,-0.04430038340643307
2071,,-0.04430038340643307
2072,,-0.04418650067274044
2073,,-0.04418650067274044
2074,,-0.04418650067274044
2075,,-0.04418650067274044
2076,,-0.04418650067274044
2077,,-0.04418650067274044
2078,,-0.04418650067274044
2079,,-0.04418650067274044
2080,,-0.04418650067274044
2081,,-0.04418650067274044
2082,,-0.04418650067274044
2083,,-0.04418650067274044
2084,,-0.04407261793904781
2085,,-0.04407261793904781
2086,,-0.04407261793904781
2087,,-0.04407261793904781
2088,,-0.04384485247166255
2089,,-0.04384485247166255
2090,,-0.04361708700427729
2091,,-0.04361708700427729
2092,,-0.04327543880319941
2093,,-0.04327543880319941
2094,,-0.04293379060212152
2095,,-0.04293379060212152
2096,,-0.04259214240104362
2097,,-0.04259214240104362
2098,,-0.0421366114662731
2099,,-0.0421366114662731
2100,,-0.04179496326519521
2101,,-0.04179496326519521
2102,,-0.04133943233042469
2103,,-0.04133943233042469
2104,,-0.040883901395654176
2105,,-0.040883901395654176
2106,,-0.040200604993498396
2107,,-0.040200604993498396
2108,,-0.039631191325035245
2109,,-0.039631191325035245
2110,,-0.038947894922879464
2111,,-0.038947894922879464
2112,,-0.03826459852072368
2113,,-0.03826459852072368
2114,,-0.03746741938487527
2115,,-0.03746741938487527
2116,,-0.03667024024902686
2117,,-0.03667024024902686
2118,,-0.03587306111317846
2119,,-0.03587306111317846
2120,,-0.035075881977330046
2121,,-0.035075881977330046
2122,,-0.034164820107789005
2123,,-0.034164820107789005
2124,,-0.033367640971940594
2125,,-0.033367640971940594
2126,,-0.03245657910239955
2127,,-0.03245657910239955
2128,,-0.03177328270024377
2129,,-0.03177328270024377
2130,,-0.03086222083070273
2131,,-0.03086222083070273
2132,,-0.030065041694854324
2133,,-0.030065041694854324
2134,,-0.029153979825313283
2135,,-0.029153979825313283
2136,,-0.028242917955772242
2137,,-0.028242917955772242
2138,,-0.0273318560862312
2139,,-0.0273318560862312
2140,,-0.026420794216690163
2141,,-0.026420794216690163
2142,,-0.025623615080841752
2143,,-0.025623615080841752
2144,,-0.02471255321130071
2145,,-0.02471255321130071
2146,,-0.02380149134175967
2147,,-0.02380149134175967
2148,,-0.023004312205911263
2149,,-0.023004312205911263
2150,,-0.022207133070062852
2151,,-0.022207133070062852
2152,,-0.02129607120052181
2153,,-0.02129607120052181
2154,,-0.020498892064673403
2155,,-0.020498892064673403
2156,,-0.019701712928824992
2157,,-0.019701712928824992
2158,,-0.01901841652666921
2159,,-0.01901841652666921
2160,,-0.0182212373908208
2161,,-0.0182212373908208
2162,,-0.017537940988665023
2163,,-0.017537940988665023
2164,,-0.016854644586509242
2165,,-0.016854644586509242
2166,,-0.016285230918046092
2167,,-0.016285230918046092
2168,,-0.015601934515890313
2169,,-0.015601934515890313
2170,,-0.015032520847427162
2171,,-0.015032520847427162
2172,,-0.014463107178964011
2173,,-0.014463107178964011
2174,,-0.01400757624419349
2175,,-0.01400757624419349
2176,,-0.013438162575730342
2177,,-0.013438162575730342
2178,,-0.012982631640959821
2179,,-0.012982631640959821
2180,,-0.01241321797249667
2181,,-0.01241321797249667
2182,,-0.011957687037726152
2183,,-0.011957687037726152
2184,,-0.011388273369263003
2185,,-0.011388273369263003
2186,,-0.010932742434492482
2187,,-0.010932742434492482
2188,,-0.010477211499721962
2189,,-0.010477211499721962
2190,,-0.009907797831258811
2191,,-0.009907797831258811
2192,,-0.00945226689648829
2193,,-0.00945226689648829
2194,,-0.008768970494332512
2195,,-0.008768970494332512
2196,,-0.008199556825869361
2197,,-0.008199556825869361
2198,,-0.007516260423713581
2199,,-0.007516260423713581
2200,,-0.0068329640215578
2201,,-0.0068329640215578
2202,,-0.00614966761940202
2203,,-0.00614966761940202
2204,,-0.005466371217246241
2205,,-0.005466371217246241
2206,,-0.00478307481509046
2207,,-0.00478307481509046
2208,,-0.00398589567924205
2209,,-0.00398589567924205
2210,,-0.00307483380970101
2211,,-0.00307483380970101
2212,,-0.0022776546738526
2213,,-0.0022776546738526
2214,,-0.0013665928043115603
2215,,-0.0013665928043115603
2216,,-0.00045553093477052005
2217,,-0.00045553093477052005
2218,,0.00045553093477052005
2219,,0.00045553093477052005
2220,,0.00148047553800419
2221,,0.00148047553800419
2222,,0.0026193028749304905
2223,,0.0026193028749304905
2224,,0.0036442474781641604
2225,,0.0036442474781641604
2226,,0.0048969575487830905
2227,,0.0048969575487830905
2228,,0.006035784885709391
2229,,0.006035784885709391
2230,,0.00740237769002095
2231,,0.00740237769002095
2232,,0.008655087760639881
2233,,0.008655087760639881
2234,,0.010021680564951441
2235,,0.010021680564951441
2236,,0.011388273369263003
2237,,0.011388273369263003
2238,,0.012868748907267191
2239,,0.012868748907267191
2240,,0.014235341711578751
2241,,0.014235341711578751
2242,,0.015601934515890313
2243,,0.015601934515890313
2244,,0.016968527320201873
2245,,0.016968527320201873
2246,,0.01833512012451343
2247,,0.01833512012451343
2248,,0.019701712928824992
2249,,0.019701712928824992
2250,,0.02106830573313655
2251,,0.02106830573313655
2252,,0.022434898537448112
2253,,0.022434898537448112
2254,,0.02368760860806704
2255,,0.02368760860806704
2256,,0.02482643594499334
2257,,0.02482643594499334
2258,,0.025965263281919643
2259,,0.025965263281919643
2260,,0.026876325151460684
2261,,0.026876325151460684
2262,,0.027673504287309095
2263,,0.027673504287309095
2264,,0.028356800689464872
2265,,0.028356800689464872
2266,,0.028812331624235396
2267,,0.028812331624235396
2268,,0.029153979825313283
2269,,0.029153979825313283
2270,,0.029267862559005913
2271,,0.029267862559005913
2272,,0.029153979825313283
2273,,0.029153979825313283
2274,,0.028926214357928023
2275,,0.028926214357928023
2276,,0.028698448890542766
2277,,0.028698448890542766
2278,,0.028470683423157502
2279,,0.028470683423157502
2280,,0.028356800689464872
2281,,0.028356800689464872
2282,,0.028242917955772242
2283,,0.028242917955772242
2284,,0.028242917955772242
2285,,0.028242917955772242
2286,,0.028242917955772242
2287,,0.028242917955772242
2288,,0.028242917955772242
2289,,0.028242917955772242
2290,,0.028129035222079612
2291,,0.028129035222079612
2292,,0.028129035222079612
2293,,0.028129035222079612
2294,,0.02801515248838698
2295,,0.02801515248838698
2296,,0.02801515248838698
2297,,0.02801515248838698
2298,,0.027901269754694355
2299,,0.027901269754694355
2300,,0.027787387021001725
2301,,0.027787387021001725
2302,,0.027673504287309095
2303,,0.027673504287309095
2304,,0.027559621553616465
2305,,0.027559621553616465
2306,,0.0273318560862312
2307,,0.0273318560862312
2308,,0.026990207885153314
2309,,0.026990207885153314
2310,,0.026648559684075424
2311,,0.026648559684075424
2312,,0.026306911482997533
2313,,0.026306911482997533
2314,,0.025851380548227013
2315,,0.025851380548227013
2316,,0.025281966879763865
2317,,0.025281966879763865
2318,,0.02471255321130071
2319,,0.02471255321130071
2320,,0.024257022276530194
2321,,0.024257022276530194
2322,,0.023915374075452304
2323,,0.023915374075452304
2324,,0.023459843140681783
2325,,0.023459843140681783
2326,,0.022890429472218633
2327,,0.022890429472218633
2328,,0.022548781271140742
2329,,0.022548781271140742
2330,,0.02209325033637022
2331,,0.02209325033637022
2332,,0.021637719401599705
2333,,0.021637719401599705
2334,,0.02118218846682918
2335,,0.02118218846682918
2336,,0.020612774798366033
2337,,0.020612774798366033
2338,,0.020043361129902883
2339,,0.020043361129902883
2340,,0.019473947461439732
2341,,0.019473947461439732
2342,,0.01879065105928395
2343,,0.01879065105928395
2344,,0.0182212373908208
2345,,0.0182212373908208
2346,,0.01765182372235765
2347,,0.01765182372235765
2348,,0.017082410053894503
2349,,0.017082410053894503
2350,,0.016512996385431352
2351,,0.016512996385431352
2352,,0.01605746545066083
2353,,0.01605746545066083
2354,,0.015601934515890313
2355,,0.015601934515890313
2356,,0.015146403581119792
2357,,0.015146403581119792
2358,,0.014690872646349272
2359,,0.014690872646349272
2360,,0.014235341711578751
2361,,0.014235341711578751
2362,,0.013779810776808232
2363,,0.013779810776808232
2364,,0.013324279842037712
2365,,0.013324279842037712
2366,,0.012982631640959821
2367,,0.012982631640959821
2368,,0.0125271007061893
2369,,0.0125271007061893
2370,,0.012185452505111412
2371,,0.012185452505111412
2372,,0.01184380430403352
2373,,0.01184380430403352
2374,,0.011502156102955631
2375,,0.011502156102955631
2376,,0.01104662516818511
2377,,0.01104662516818511
2378,,0.01070497696710722
2379,,0.01070497696710722
2380,,0.010249446032336702
2381,,0.010249446032336702
2382,,0.009793915097566181
2383,,0.009793915097566181
2384,,0.00933838416279566
2385,,0.00933838416279566
2386,,0.00888285322802514
2387,,0.00888285322802514
2388,,0.008427322293254621
2389,,0.008427322293254621
2390,,0.0079717913584841
2391,,0.0079717913584841
2392,,0.00763014315740621
2393,,0.00763014315740621
2394,,0.007288494956328321
2395,,0.007288494956328321
2396,,0.0068329640215578
2397,,0.0068329640215578
2398,,0.006491315820479911
2399,,0.006491315820479911
2400,,0.00614966761940202
2401,,0.00614966761940202
2402,,0.005808019418324131
2403,,0.005808019418324131
2404,,0.0055802539509388705
2405,,0.0055802539509388705
2406,,0.005238605749860981
2407,,0.005238605749860981
2408,,0.005010840282475721
2409,,0.005010840282475721
2410,,0.00466919208139783
2411,,0.00466919208139783
2412,,0.00444142661401257
2413,,0.00444142661401257
2414,,0.0040997784129346805
2415,,0.0040997784129346805
2416,,0.0038720129455494206
2417,,0.0038720129455494206
2418,,0.0035303647444715302
2419,,0.0035303647444715302
2420,,0.0031887165433936403
2421,,0.0031887165433936403
2422,,0.0028470683423157507
2423,,0.0028470683423157507
2424,,0.0026193028749304905
2425,,0.0026193028749304905
2426,,0.0022776546738526
2427,,0.0022776546738526
2428,,0.0020498892064673402
2429,,0.0020498892064673402
2430,,0.00170824100538945
2431,,0.00170824100538945
2432,,0.00148047553800419
2433,,0.00148047553800419
2434,,0.0011388273369263
2435,,0.0011388273369263
2436,,0.0007971791358484101
2437,,0.0007971791358484101
2438,,0.00045553093477052005
2439,,0.00045553093477052005
2440,,0.00011388273369263001
2441,,0.00011388273369263001
2442,,-0.00022776546738526002
2443,,-0.00022776546738526002
2444,,-0.00056941366846315
2445,,-0.00056941366846315
2446,,-0.0009110618695410401
2447,,-0.0009110618695410401
2448,,-0.0012527100706189302
2449,,-0.0012527100706189302
2450,,-0.0015943582716968201
2451,,-0.0015943582716968201
2452,,-0.0020498892064673402
2453,,-0.0020498892064673402
2454,,-0.0025054201412378603
2455,,-0.0025054201412378603
2456,,-0.00296095107600838
2457,,-0.00296095107600838
2458,,-0.0035303647444715302
2459,,-0.0035303647444715302
2460,,-0.00398589567924205
2461,,-0.00398589567924205
2462,,-0.00444142661401257
2463,,-0.00444142661401257
2464,,-0.005010840282475721
2465,,-0.005010840282475721
2466,,-0.005466371217246241
2467,,-0.005466371217246241
2468,,-0.00592190215201676
2469,,-0.00592190215201676
2470,,-0.0063774330867872805
2471,,-0.0063774330867872805
2472,,-0.006946846755250431
2473,,-0.006946846755250431
2474,,-0.007516260423713581
2475,,-0.007516260423713581
2476,,-0.00808567409217673
2477,,-0.00808567409217673
2478,,-0.008655087760639881
2479,,-0.008655087760639881
2480,,-0.009224501429103032
2481,,-0.009224501429103032
2482,,-0.009907797831258811
2483,,-0.009907797831258811
2484,,-0.010477211499721962
2485,,-0.010477211499721962
2486,,-0.011160507901877741
2487,,-0.011160507901877741
2488,,-0.01184380430403352
2489,,-0.01184380430403352
2490,,-0.01241321797249667
2491,,-0.01241321797249667
2492,,-0.012982631640959821
2493,,-0.012982631640959821
2494,,-0.01355204530942297
2495,,-0.01355204530942297
2496,,-0.014121458977886121
2497,,-0.014121458977886121
2498,,-0.014690872646349272
2499,,-0.014690872646349272
2500,,-0.01526028631481242
2501,,-0.01526028631481242
2502,,-0.01582969998327557
2503,,-0.01582969998327557
2504,,-0.016285230918046092
2505,,-0.016285230918046092
2506,,-0.016854644586509242
2507,,-0.016854644586509242
2508,,-0.017310175521279763
2509,,-0.017310175521279763
2510,,-0.01765182372235765
2511,,-0.01765182372235765
2512,,-0.01810735465712817
2513,,-0.01810735465712817
